日期,星期,時間,課程名稱,備註
2026-07-01,星期三,14:30~15:30,療癒陰瑜伽,
2026-07-02,星期四,19:30~20:30,彼拉提斯,
2026-07-03,星期五,14:30~15:30,階梯有氧,
2026-07-04,星期六,,,
2026-07-05,星期日,,,
2026-07-06,星期一,,,
2026-07-07,星期二,19:30~20:30,階梯有氧,
2026-07-08,星期三,14:30~15:30,椅子瑜伽,
2026-07-09,星期四,19:30~20:30,流動瑜伽,
2026-07-10,星期五,,,老師進修停課
2026-07-11,星期六,,,
2026-07-12,星期日,,,
2026-07-13,星期一,,,
2026-07-14,星期二,19:30~20:30,階梯有氧,
2026-07-15,星期三,14:30~15:30,哈達瑜伽,
2026-07-16,星期四,19:30~20:30,流動瑜伽,
2026-07-17,星期五,14:30~15:30,階梯有氧,
2026-07-18,星期六,,,
2026-07-19,星期日,,,
2026-07-20,星期一,,,
2026-07-21,星期二,19:30~20:30,階梯有氧,
2026-07-22,星期三,14:30~15:30,哈達瑜伽,
2026-07-23,星期四,19:30~20:30,流動瑜伽,
2026-07-24,星期五,14:30~15:30,階梯有氧,
2026-07-25,星期六,,,
2026-07-26,星期日,,,
2026-07-27,星期一,,,
2026-07-28,星期二,19:30~20:30,階梯有氧,
2026-07-29,星期三,14:30~15:30,彼拉提斯,
2026-07-30,星期四,19:30~20:30,哈達瑜伽,
2026-07-31,星期五,14:30~15:30,階梯有氧,
